abbreviation,full
CB,Change-based
CM,Change materialization
CV,Cross-version join
CVS,Concurrent Versions System
DM,Delta materialization
HTTP,Hypertext Transfer Protocol
IC,Independent copies
IRI,
OBDA,Ontology-Based Data Access
OBQA,Ontology-Based Query Answering
OSTRICH,Offset-Enabled Triple Store for Changesets
RDF,Resource Description Framework
RSP,RDF Stream Processing
SPARQL,SPARQL Procotol and RDF Query Language
TB,Timestamp-based
VM,Version materialization
VTPF,Versioned Triple Pattern Fragments
VQ,Version query
